SITE CODE= E4EìåãûêÁë„ìcãÊëÂéËí¨        ,38.1033,142.8600, 24,9.0,40613.6154873, 54.13, 94.51
 LAT.=   35.6890
 LON.=  139.7559
 SAMPLING RATE= 100Hz 
 UNIT  = gal(cm/s/s) 
INITIAL TIME = 2011 03 11 14 47 10
 NS,EW,UD
0.023,-0.034,-0.010
0.015,-0.029,-0.009
0.004,-0.018,-0.013
-0.010,-0.002,-0.019
-0.022,0.010,-0.023
-0.027,0.018,-0.020
-0.021,0.021,-0.007
-0.002,0.020,0.012
0.024,0.013,0.029
0.047,-0.004,0.031
0.061,-0.031,0.013
0.064,-0.061,-0.015
0.062,-0.083,-0.040
0.055,-0.093,-0.050
0.043,-0.088,-0.044
0.020,-0.072,-0.030
-0.015,-0.044,-0.017
-0.053,-0.012,-0.009
-0.085,0.016,-0.005
-0.105,0.040,-0.005
-0.115,0.061,-0.004
-0.119,0.086,0.004
-0.117,0.110,0.019
-0.104,0.119,0.031
-0.074,0.100,0.025
-0.032,0.052,-0.002
0.009,-0.011,-0.040
0.038,-0.070,-0.067
0.054,-0.111,-0.071
0.061,-0.128,-0.051
0.066,-0.118,-0.021
0.065,-0.083,0.005
0.054,-0.031,0.020
0.030,0.022,0.022
-0.001,0.057,0.012
-0.033,0.065,-0.005
-0.058,0.053,-0.027
-0.071,0.040,-0.048
-0.066,0.035,-0.063
-0.036,0.032,-0.068
0.015,0.016,-0.058
0.070,-0.014,-0.036
0.109,-0.044,-0.012
0.118,-0.056,-0.002
0.098,-0.048,-0.012
0.060,-0.035,-0.035
0.017,-0.031,-0.054
-0.021,-0.031,-0.059
-0.055,-0.026,-0.048
-0.083,-0.012,-0.033
-0.104,0.000,-0.022
-0.112,0.003,-0.010
-0.101,0.004,0.009
-0.070,0.016,0.039
-0.021,0.039,0.071
0.031,0.063,0.095
0.074,0.075,0.105
0.095,0.074,0.102
0.091,0.068,0.089
0.065,0.058,0.068
0.023,0.033,0.040
-0.022,-0.013,0.010
-0.062,-0.070,-0.012
-0.091,-0.110,-0.016
-0.108,-0.112,0.002
-0.115,-0.080,0.032
-0.112,-0.035,0.059
-0.089,-0.001,0.072
-0.044,0.010,0.070
0.016,0.004,0.061
0.070,-0.008,0.051
0.095,-0.019,0.036
0.082,-0.026,0.010
0.040,-0.033,-0.030
